,feature,importance
369,MEAN(credit.CNT_DRAWINGS_CURRENT),10.200000000000001
370,MIN(installments.NUM_INSTALMENT_NUMBER),0.0
371,SUM(installments.NUM_INSTALMENT_NUMBER),12.2
372,MIN(credit.AMT_RECEIVABLE_PRINCIPAL),2.2
373,SUM(credit.AMT_TOTAL_RECEIVABLE),0.4
374,MAX(previous_app.MEAN(installments.NUM_INSTALMENT_NUMBER)),8.2
375,MEAN(previous_app.MIN(credit.AMT_TOTAL_RECEIVABLE)),1.0
376,MEAN(previous_app.MIN(credit.SK_DPD)),0.0
377,MAX(previous_app.SUM(installments.AMT_PAYMENT)),34.6
378,MIN(previous_app.SUM(cash.SK_DPD_DEF)),0.8
379,MIN(previous_app.MAX(credit.SK_ID_CURR)),0.0
380,SUM(previous_app.MAX(credit.AMT_DRAWINGS_POS_CURRENT)),0.6000000000000001
381,SUM(previous_app.MAX(credit.CNT_DRAWINGS_OTHER_CURRENT)),0.0
382,MAX(previous_app.MEAN(cash.MONTHS_BALANCE)),18.799999999999997
383,MAX(previous_app.MEAN(credit.AMT_DRAWINGS_POS_CURRENT)),2.2
384,MEAN(previous_app.MAX(installments.NUM_INSTALMENT_VERSION)),17.6
385,SUM(previous_app.MEAN(installments.SK_ID_CURR)),20.0
386,MIN(previous_app.SUM(cash.SK_ID_CURR)),29.2
387,MAX(previous_app.SUM(credit.AMT_DRAWINGS_ATM_CURRENT)),0.4
388,SUM(previous_app.MAX(installments.NUM_INSTALMENT_NUMBER)),12.600000000000001
389,SUM(previous_app.MIN(credit.SK_DPD)),0.0
390,MAX(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),22.799999999999997
391,MIN(previous_app.SUM(installments.DAYS_INSTALMENT)),17.0
392,MIN(previous_app.SUM(credit.SK_ID_CURR)),7.8
393,SUM(previous_app.MEAN(credit.CNT_DRAWINGS_ATM_CURRENT)),18.0
394,SUM(previous_app.MAX(credit.AMT_PAYMENT_TOTAL_CURRENT)),0.6000000000000001
